100,5
4,79.2072000434045,86.70073852413825
0,51.29303556031496,12.427975830258076
2,8.680027085225417,96.32900510220239
2,35.15290015493541,59.70622453014269
4,40.93040601198982,37.86031991063139
1,3.4452572562009176,35.6981002017171
4,4.778175636673987,48.23690995637766
2,0.8888129681600243,67.71448564192438
0,50.74869347273366,99.05738147556643
1,11.21073985263157,95.14475774805902
2,8.35155648850412,6.469333092940543
2,14.02586322490822,87.16680176800618
3,50.9892162461784,97.59716653666163
3,21.689158772736416,61.75657506362372
2,88.10286497929128,39.54553313047702
2,54.59500337033201,89.15139888493073
4,78.48646046760516,27.0699383572767
3,97.87728003783988,41.96552546851673
1,47.28391933673869,84.90363083875742
3,36.80536888357023,78.93458376223093
2,84.41963208043279,79.41019838539235
2,70.97520471836344,56.8760799601902
2,53.80891291605445,65.32762360977672
2,7.044874026306635,53.74120787761684
3,41.95719544885529,44.66089031146417
0,31.92885212684252,53.48050980976431
1,82.35793111859351,7.006886865883821
0,87.09537269130993,67.67469401747277
1,30.050248691162295,84.49937229102709
2,29.535500729561402,74.8827864622186
4,55.5763477775325,13.51194343449771
0,55.05778841420618,1.0660708754737347
2,66.86597539562207,86.18152061827008
0,23.89016854736965,0.7274328633397609
3,90.7753105826781,12.2628369943391
1,25.6027018620999,94.38390912754564
1,31.508205711156734,74.95767883839304
3,4.575450237142276,51.98836659557846
0,52.62943773597246,9.107473062410932
2,22.061047253509937,67.08077801801967
2,0.7233465177694409,56.00784461161056
0,67.90417419230099,74.1895781727339
2,0.6331326508455581,58.48230723826342
4,73.15917978837521,50.81572203871711
3,52.31797096779067,54.86181076010283
1,68.07839006821241,2.4617429400334068
4,47.09287752992577,75.35382472637944
2,38.915711129850585,78.84960901947323
3,40.12945507858519,35.62209563118191
4,8.382904435372208,8.680703840176928
4,79.02155981975292,78.07824637341902
3,45.4990740422265,63.48621076432801
0,46.57164049666459,77.28352717594413
0,54.385675438305334,10.857093795802497
3,96.71411179467394,73.97830414215125
4,7.695756108347862,22.393441062969586
0,20.165126474513883,55.97867649995305
1,76.86562997694274,37.151308529434544
1,36.64817685731473,62.639313682494226
0,0.9677519554487368,51.58435138718072
0,35.60295098243456,24.492430067407234
2,12.303844004174902,49.89476368212292
1,87.75714126903297,95.35284730850199
4,53.155679235569345,25.352366097314004
0,44.647239536788184,5.677081831604857
4,96.92316859188969,99.11032475392871
0,65.98651630759588,10.077238713410864
1,44.84611232135121,4.724573705893908
4,33.60228370979258,41.286569977003495
4,9.446074191030608,99.74805860350745
0,12.064493343148008,52.35725848387373
0,69.96211622042563,16.160070992103414
3,29.43010125882195,55.816410188473434
0,32.485344633449365,13.787708029201152
2,41.10967395581257,57.8961112717029
3,23.845213696631916,22.307418762622977
0,35.48585489367285,32.24107409657295
4,69.33580838485652,18.36749298425351
4,96.31009380315791,37.86267333978063
3,42.151906304564626,34.9916167169497
2,89.4943829840662,36.00511034740344
1,89.85169544379518,99.67346366895049
3,24.949690940016623,43.19133443680611
1,70.56185965069668,15.632833139437075
1,53.55843446166452,35.17205582023766
2,85.42791329485823,75.50971406879357
4,86.84208340532491,1.9087973314553142
1,83.4136525347062,55.80383568511088
0,0.6549347672547445,61.33631036628662
1,70.97116326076868,94.0806421373659
2,75.32387873940942,1.6523888874045545
3,24.393647831627153,43.57201231327137
1,67.49543779319355,82.5285394081713
3,13.400650814834814,60.412481358630686
3,20.167210616607502,72.89455168531275
0,39.37574607660977,71.72314853647423
1,79.55676519319677,56.85664238780465
0,49.30697722700532,90.55983431706684
4,91.08762783098402,33.67722795359004
2,40.240908240726036,5.11821598019806
9
20.77998366845817,96.27533989600401,54.37581511493998
96.2827124526196,58.839039472720756,24.95495316288818
22.49714029166433,72.43291633035575,35.37461638962609
42.79884845208113,24.712953132840866,2.895987359017671
41.124423153542914,7.829597178006765,21.23941335124976
50.15324520657568,31.6739769242691,90.77579006211187
26.226989584079284,33.7419269245772,37.481631415422015
15.843740863809252,85.96004463087496,29.709987878652576
5.056099865526297,75.29963433511615,92.61896170946629
